날짜,환율
2026-05-29,1506.27
2026-06-01,1508.64
2026-06-02,1517.15
2026-06-03,1530.99
2026-06-04,1532.52
2026-06-05,1540.93
2026-06-08,1527.95
2026-06-09,1525.48
2026-06-10,1524.5
2026-06-11,1529.53
2026-06-12,1520.21
2026-06-15,1514.3
2026-06-16,1508.85
2026-06-17,1517.08
2026-06-18,1538.89
2026-06-19,1532.31
2026-06-22,1537.08
2026-06-23,1536.15
2026-06-24,1546.43
2026-06-25,1542.92
2026-06-26,1536.47
2026-06-29,1543.75
2026-06-30,1550.89
2026-07-01,1558.09
2026-07-02,1548.85
2026-07-03,1531.23
2026-07-06,1531.07
2026-07-07,1514.45
2026-07-08,1509.08
2026-07-09,1512.45
2026-07-10,1504.92
2026-07-13,1494.09
2026-07-14,1495.49
2026-07-15,1492.17
2026-07-16,1479.45
2026-07-17,1485.32
2026-07-20,1481.18
2026-07-21,1478.4
2026-07-22,1480.35
2026-07-23,1472.72
2026-07-24,1461.0
2026-07-27,1470.11
2026-07-28,1459.45
2026-07-29,1452.35
2026-07-30,1433.7
2026-07-31,1443.61
2026-08-03,1427.05
2026-08-04,1427.11
2026-08-05,1423.72
2026-08-06,1423.57
2026-08-07,1415.95
2026-08-10,1416.62
2026-08-11,1412.17
2026-08-12,1417.13
2026-08-13,1420.29
2026-08-14,1411.27
2026-08-17,1411.91
2026-08-18,1410.07
2026-08-19,1391.48
2026-08-20,1396.35
2026-08-21,1384.23
2026-08-24,1384.26
2026-08-25,1383.07
2026-08-26,1383.49
